AppName,Category,AppID
"7-Zip",		"file tool",		XPDNKVCX4QD2DC
"Aquile Reader",	"ebook reader",		9P08T4JLTQNK
"CrystalDiskInfo",	"HDD/SSD tool",		XP8K4RGX25G3GM
"Google Chrome",	"desktop browser",	Google.Chrome
"Dopamine",		"audio player",		Digimezzo.Dopamine.2
"Dropbox",		"file sync",		Dropbox.Dropbox
"Git",			"code management",	Git.Git
"IrfanView",		"image viewer",		9PJZ3BTL5PV6
"inSSIDer",		"Wifi tool",		MetaGeek.inSSIDer
"LibreOffice",		"office suite",		TheDocumentFoundation.LibreOffice
"Microsoft Teams",	"messenger",		XP8BT8DW290MPQ
"Mozilla Firefox",	"desktop browser",	9NZVDKPMR9RD
"Mozilla Thunderbird",	"email client",		Mozilla.Thunderbird
"Mp3tag",		"mp3 tag editor",	9NN77TCQ1NC8
"Netflix",		"video player",		9WZDNCRFJ3TJ
"Notepad++",		"text editor",		Notepad++.Notepad++
"One Calendar",		"desktop calendar",	9WZDNCRDR0SF
"Signal",		"messenger",		OpenWhisperSystems.Signal
"smartmontools",	"HDD/SSD tool",		smartmontools.smartmontools
"Spotify",		"music and podcasts",	9NCBCSZSJRSB
"Typora",		"Markdown editor",	Typora.Typora
"Visual Studio Code",	"code editor",		XP9KHM4BK9FZ7Q
"VLC",			"media player",		XPDM1ZW6815MQM
"Windows Terminal",	"terminal application",	9N0DX20HK701
"WhatsApp",		"messenger",		9NKSQGP7F2NH
"Zoom",			"video conferences",	Zoom.Zoom
